캠페인,202101-유리카-(주) 데일리앤코-주식회사 에코마케팅-NP_M_0118 - 유리카
보고서이름,광고소재별 리포트_에코마케팅 ( 주식회사 에코마케팅 )
생성자,에코마케팅 ( 주식회사 에코마케팅 )
통계기간,2021.01.18.~2021.01.24.
필터항목,없음

"광고상품","상품유형","광고소재","일자","시간","집행금액","광고비","노출수","클릭수","클릭률(%)","노출비용(원/1천회)","클릭비용(원/1회)"
"M_신제품검색","검색_이미지형","워터시트_클렌징티슈/화장실가지마히든","2021-01-18","13-14시","513","513","7","0","0.00","73307","0"
"M_신제품검색","검색_이미지형","워터시트_클렌징티슈/누워서수분클히든","2021-01-18","13-14시","147","147","2","0","0.00","73310","0"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/32아침마스리","2021-01-18","13-14시","1378","1378","21","0","0.00","65641","0"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/32짧은마스리","2021-01-18","13-14시","1444","1444","22","2","9.09","65641","722"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/짧은마스또렷리","2021-01-18","13-14시","1247","1247","19","0","0.00","65641","0"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/할인무배아침하지마리","2021-01-18","13-14시","1050","1050","16","0","0.00","65641","0"
"M_신제품검색","검색_이미지형","링거펜_눈썹영양제/짧은마스또렷리","2021-01-18","13-14시","298","298","4","1","25.00","74500","298"
"M_신제품검색","검색_이미지형"," 링거펜_눈썹영양제/인상좌우빗으면","2021-01-18","13-14시","75","75","1","0","0.00","74500","0"
"M_신제품검색","검색_이미지형","링거펜_눈썹영양제/마스또렷빗으면","2021-01-18","13-14시","75","75","1","0","0.00","74500","0"
"M_신제품검색","검색_이미지형","링거펜_눈썹영양제/빈약인상소리","2021-01-18","13-14시","149","149","2","0","0.00","74500","0"
"M_신제품검색","검색_이미지형","브세_브러쉬세척기/할인무배새해","2021-01-18","14-15시","596","596","1","0","0.00","596000","0"
"M_신제품검색","검색_이미지형","워터시트_클렌징티슈/누워서수분클","2021-01-18","14-15시","119","119","1","0","0.00","119130","0"
"M_신제품검색","검색_이미지형","워터시트_클렌징티슈/화장실가지마","2021-01-18","14-15시","238","238","2","0","0.00","119125","0"
"M_신제품검색","검색_이미지형","워터시트_클렌징티슈/화장실가지마히든","2021-01-18","14-15시","119","119","1","0","0.00","119130","0"
"M_신제품검색","검색_이미지형","워터시트_클렌징티슈/누워서수분클히든","2021-01-18","14-15시","477","477","4","0","0.00","119125","0"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/32아침마스리","2021-01-18","14-15시","1475","1475","17","2","11.76","86779","738"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/32짧은마스리","2021-01-18","14-15시","1302","1302","15","3","20.00","86779","434"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/짧은마스또렷리","2021-01-18","14-15시","1128","1128","13","2","15.38","86780","564"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/할인무배아침하지마리","2021-01-18","14-15시","1215","1215","14","1","7.14","86780","1215"
"M_신제품검색","검색_이미지형","링거펜_눈썹영양제/할인무배아침하지마리","2021-01-18","14-15시","298","298","1","0","0.00","298000","0"
"M_신제품검색","검색_이미지형","링거펜_눈썹영양제/마스또렷빗으면","2021-01-18","14-15시","298","298","1","0","0.00","298000","0"
"M_신제품검색","검색_이미지형","브세_브러쉬세척기/할인무배새해","2021-01-18","15-16시","397","397","2","1","50.00","198665","397"
"M_신제품검색","검색_이미지형","브세_브러쉬세척기/새해맞이50","2021-01-18","15-16시","199","199","1","0","0.00","198670","0"
"M_신제품검색","검색_이미지형","워터시트_클렌징티슈/누워서수분클","2021-01-18","15-16시","159","159","2","0","0.00","79415","0"
"M_신제품검색","검색_이미지형","워터시트_클렌징티슈/화장실가지마","2021-01-18","15-16시","318","318","4","0","0.00","79418","0"
"M_신제품검색","검색_이미지형","워터시트_클렌징티슈/화장실가지마히든","2021-01-18","15-16시","159","159","2","1","50.00","79415","159"
"M_신제품검색","검색_이미지형","워터시트_클렌징티슈/누워서수분클히든","2021-01-18","15-16시","318","318","4","1","25.00","79418","318"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/32아침마스리","2021-01-18","15-16시","1059","1059","18","1","5.56","58851","1059"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/32짧은마스리","2021-01-18","15-16시","1059","1059","18","2","11.11","58851","530"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/짧은마스또렷리","2021-01-18","15-16시","1707","1707","29","4","13.79","58851","427"
"M_신제품검색","검색_이미지형","링거펜_속눈썹영양제/할인무배아침하지마리","2021-01-18","15-16시","1295","1295","22","1","4.55","58850","1295"
"M_신제품검색","검색_이미지형","링거펜_눈썹영양제/할인무배아침하지마리","2021-01-18","15-16시","224","224","3","0","0.00","74500","0"
"M_신제품검색","검색_이미지형","링거펜_눈썹영양제/짧은마스또렷리","2021-01-18","15-16시","75","75","1","0","0.00","74500","0"
"M_신제품검색","검색_이미지형"," 링거펜_눈썹영양제/인상좌우빗으면","2021-01-18","15-16시","149","149","2","0","0.00","74500","0"
"M_신제품검색","검색_이미지형","링거펜_눈썹영양제/빈약인상소리","2021-01-18","15-16시","149","149","2","0","0.00","74500","0"
"M_신제품검색","검색_이미지형","브세_브러쉬세척기/새해맞이50","2021-01-18","16-17시","149","149","1","0","0.00","149000","0"
"M_신제품검색","검색_이미지형","워터시트_클렌징티슈/누워서수분클","2021-01-18","16-17시","357","357","3","0","0.00","119127","0"
"M_신제품검색","검색_이미지형","워터시트_클렌징티슈/화장실가지마","2021-01-18","16-17시","477","477","4","0","0.00","119125","0"
"M_신제품검색","검색_이미지형","워터시트_클렌징티슈/누워서수분클히든","2021-01-18","16-17시","119","119","1","0","0.00","119130","0"
